# pattern	name	expected  — generated from CPython fnmatch; regenerate with scripts/gen-fnmatch-parity.py
*.py	src/foo.py	true
*.py	foo.py	true
*.py	a/b/.env	false
*.py	.env	false
*.py	.env.local	false
*.py	src/a/b/c.py	true
*.py	x/credentials/y	false
*.py	credentials/y	false
*.py	x/credentials/y/z	false
*.py	a.pem	false
*.py	deep/a.pem	false
*.py	.claude/settings.json	false
*.py	.claude/a/b	false
*.py	.git/config	false
*.py	.devcouncil/state.sqlite	false
*.py	.github/workflows/ci.yml	false
*.py	package.json	false
*.py	sub/package.json	false
*.py	home/id_rsa	false
*.py	src/legacy/old.go	false
*.py	src/legacy/a/b.go	false
*.py	abd	false
*.py	acd	false
*.py	axd	false
*.py	xyz	false
*.py	x/z	false
*.py	]a	false
*.py	uv.lock	false
*.py	p/secrets/k	false
*.py	secrets/k	false
*.py		false
**/.env	src/foo.py	false
**/.env	foo.py	false
**/.env	a/b/.env	true
**/.env	.env	false
**/.env	.env.local	false
**/.env	src/a/b/c.py	false
**/.env	x/credentials/y	false
**/.env	credentials/y	false
**/.env	x/credentials/y/z	false
**/.env	a.pem	false
**/.env	deep/a.pem	false
**/.env	.claude/settings.json	false
**/.env	.claude/a/b	false
**/.env	.git/config	false
**/.env	.devcouncil/state.sqlite	false
**/.env	.github/workflows/ci.yml	false
**/.env	package.json	false
**/.env	sub/package.json	false
**/.env	home/id_rsa	false
**/.env	src/legacy/old.go	false
**/.env	src/legacy/a/b.go	false
**/.env	abd	false
**/.env	acd	false
**/.env	axd	false
**/.env	xyz	false
**/.env	x/z	false
**/.env	]a	false
**/.env	uv.lock	false
**/.env	p/secrets/k	false
**/.env	secrets/k	false
**/.env		false
.env	src/foo.py	false
.env	foo.py	false
.env	a/b/.env	false
.env	.env	true
.env	.env.local	false
.env	src/a/b/c.py	false
.env	x/credentials/y	false
.env	credentials/y	false
.env	x/credentials/y/z	false
.env	a.pem	false
.env	deep/a.pem	false
.env	.claude/settings.json	false
.env	.claude/a/b	false
.env	.git/config	false
.env	.devcouncil/state.sqlite	false
.env	.github/workflows/ci.yml	false
.env	package.json	false
.env	sub/package.json	false
.env	home/id_rsa	false
.env	src/legacy/old.go	false
.env	src/legacy/a/b.go	false
.env	abd	false
.env	acd	false
.env	axd	false
.env	xyz	false
.env	x/z	false
.env	]a	false
.env	uv.lock	false
.env	p/secrets/k	false
.env	secrets/k	false
.env		false
.env.*	src/foo.py	false
.env.*	foo.py	false
.env.*	a/b/.env	false
.env.*	.env	false
.env.*	.env.local	true
.env.*	src/a/b/c.py	false
.env.*	x/credentials/y	false
.env.*	credentials/y	false
.env.*	x/credentials/y/z	false
.env.*	a.pem	false
.env.*	deep/a.pem	false
.env.*	.claude/settings.json	false
.env.*	.claude/a/b	false
.env.*	.git/config	false
.env.*	.devcouncil/state.sqlite	false
.env.*	.github/workflows/ci.yml	false
.env.*	package.json	false
.env.*	sub/package.json	false
.env.*	home/id_rsa	false
.env.*	src/legacy/old.go	false
.env.*	src/legacy/a/b.go	false
.env.*	abd	false
.env.*	acd	false
.env.*	axd	false
.env.*	xyz	false
.env.*	x/z	false
.env.*	]a	false
.env.*	uv.lock	false
.env.*	p/secrets/k	false
.env.*	secrets/k	false
.env.*		false
src/*	src/foo.py	true
src/*	foo.py	false
src/*	a/b/.env	false
src/*	.env	false
src/*	.env.local	false
src/*	src/a/b/c.py	true
src/*	x/credentials/y	false
src/*	credentials/y	false
src/*	x/credentials/y/z	false
src/*	a.pem	false
src/*	deep/a.pem	false
src/*	.claude/settings.json	false
src/*	.claude/a/b	false
src/*	.git/config	false
src/*	.devcouncil/state.sqlite	false
src/*	.github/workflows/ci.yml	false
src/*	package.json	false
src/*	sub/package.json	false
src/*	home/id_rsa	false
src/*	src/legacy/old.go	true
src/*	src/legacy/a/b.go	true
src/*	abd	false
src/*	acd	false
src/*	axd	false
src/*	xyz	false
src/*	x/z	false
src/*	]a	false
src/*	uv.lock	false
src/*	p/secrets/k	false
src/*	secrets/k	false
src/*		false
**/credentials/**	src/foo.py	false
**/credentials/**	foo.py	false
**/credentials/**	a/b/.env	false
**/credentials/**	.env	false
**/credentials/**	.env.local	false
**/credentials/**	src/a/b/c.py	false
**/credentials/**	x/credentials/y	true
**/credentials/**	credentials/y	false
**/credentials/**	x/credentials/y/z	true
**/credentials/**	a.pem	false
**/credentials/**	deep/a.pem	false
**/credentials/**	.claude/settings.json	false
**/credentials/**	.claude/a/b	false
**/credentials/**	.git/config	false
**/credentials/**	.devcouncil/state.sqlite	false
**/credentials/**	.github/workflows/ci.yml	false
**/credentials/**	package.json	false
**/credentials/**	sub/package.json	false
**/credentials/**	home/id_rsa	false
**/credentials/**	src/legacy/old.go	false
**/credentials/**	src/legacy/a/b.go	false
**/credentials/**	abd	false
**/credentials/**	acd	false
**/credentials/**	axd	false
**/credentials/**	xyz	false
**/credentials/**	x/z	false
**/credentials/**	]a	false
**/credentials/**	uv.lock	false
**/credentials/**	p/secrets/k	false
**/credentials/**	secrets/k	false
**/credentials/**		false
**/*.pem	src/foo.py	false
**/*.pem	foo.py	false
**/*.pem	a/b/.env	false
**/*.pem	.env	false
**/*.pem	.env.local	false
**/*.pem	src/a/b/c.py	false
**/*.pem	x/credentials/y	false
**/*.pem	credentials/y	false
**/*.pem	x/credentials/y/z	false
**/*.pem	a.pem	false
**/*.pem	deep/a.pem	true
**/*.pem	.claude/settings.json	false
**/*.pem	.claude/a/b	false
**/*.pem	.git/config	false
**/*.pem	.devcouncil/state.sqlite	false
**/*.pem	.github/workflows/ci.yml	false
**/*.pem	package.json	false
**/*.pem	sub/package.json	false
**/*.pem	home/id_rsa	false
**/*.pem	src/legacy/old.go	false
**/*.pem	src/legacy/a/b.go	false
**/*.pem	abd	false
**/*.pem	acd	false
**/*.pem	axd	false
**/*.pem	xyz	false
**/*.pem	x/z	false
**/*.pem	]a	false
**/*.pem	uv.lock	false
**/*.pem	p/secrets/k	false
**/*.pem	secrets/k	false
**/*.pem		false
.claude/*	src/foo.py	false
.claude/*	foo.py	false
.claude/*	a/b/.env	false
.claude/*	.env	false
.claude/*	.env.local	false
.claude/*	src/a/b/c.py	false
.claude/*	x/credentials/y	false
.claude/*	credentials/y	false
.claude/*	x/credentials/y/z	false
.claude/*	a.pem	false
.claude/*	deep/a.pem	false
.claude/*	.claude/settings.json	true
.claude/*	.claude/a/b	true
.claude/*	.git/config	false
.claude/*	.devcouncil/state.sqlite	false
.claude/*	.github/workflows/ci.yml	false
.claude/*	package.json	false
.claude/*	sub/package.json	false
.claude/*	home/id_rsa	false
.claude/*	src/legacy/old.go	false
.claude/*	src/legacy/a/b.go	false
.claude/*	abd	false
.claude/*	acd	false
.claude/*	axd	false
.claude/*	xyz	false
.claude/*	x/z	false
.claude/*	]a	false
.claude/*	uv.lock	false
.claude/*	p/secrets/k	false
.claude/*	secrets/k	false
.claude/*		false
.claude/**	src/foo.py	false
.claude/**	foo.py	false
.claude/**	a/b/.env	false
.claude/**	.env	false
.claude/**	.env.local	false
.claude/**	src/a/b/c.py	false
.claude/**	x/credentials/y	false
.claude/**	credentials/y	false
.claude/**	x/credentials/y/z	false
.claude/**	a.pem	false
.claude/**	deep/a.pem	false
.claude/**	.claude/settings.json	true
.claude/**	.claude/a/b	true
.claude/**	.git/config	false
.claude/**	.devcouncil/state.sqlite	false
.claude/**	.github/workflows/ci.yml	false
.claude/**	package.json	false
.claude/**	sub/package.json	false
.claude/**	home/id_rsa	false
.claude/**	src/legacy/old.go	false
.claude/**	src/legacy/a/b.go	false
.claude/**	abd	false
.claude/**	acd	false
.claude/**	axd	false
.claude/**	xyz	false
.claude/**	x/z	false
.claude/**	]a	false
.claude/**	uv.lock	false
.claude/**	p/secrets/k	false
.claude/**	secrets/k	false
.claude/**		false
.git/*	src/foo.py	false
.git/*	foo.py	false
.git/*	a/b/.env	false
.git/*	.env	false
.git/*	.env.local	false
.git/*	src/a/b/c.py	false
.git/*	x/credentials/y	false
.git/*	credentials/y	false
.git/*	x/credentials/y/z	false
.git/*	a.pem	false
.git/*	deep/a.pem	false
.git/*	.claude/settings.json	false
.git/*	.claude/a/b	false
.git/*	.git/config	true
.git/*	.devcouncil/state.sqlite	false
.git/*	.github/workflows/ci.yml	false
.git/*	package.json	false
.git/*	sub/package.json	false
.git/*	home/id_rsa	false
.git/*	src/legacy/old.go	false
.git/*	src/legacy/a/b.go	false
.git/*	abd	false
.git/*	acd	false
.git/*	axd	false
.git/*	xyz	false
.git/*	x/z	false
.git/*	]a	false
.git/*	uv.lock	false
.git/*	p/secrets/k	false
.git/*	secrets/k	false
.git/*		false
.devcouncil/*	src/foo.py	false
.devcouncil/*	foo.py	false
.devcouncil/*	a/b/.env	false
.devcouncil/*	.env	false
.devcouncil/*	.env.local	false
.devcouncil/*	src/a/b/c.py	false
.devcouncil/*	x/credentials/y	false
.devcouncil/*	credentials/y	false
.devcouncil/*	x/credentials/y/z	false
.devcouncil/*	a.pem	false
.devcouncil/*	deep/a.pem	false
.devcouncil/*	.claude/settings.json	false
.devcouncil/*	.claude/a/b	false
.devcouncil/*	.git/config	false
.devcouncil/*	.devcouncil/state.sqlite	true
.devcouncil/*	.github/workflows/ci.yml	false
.devcouncil/*	package.json	false
.devcouncil/*	sub/package.json	false
.devcouncil/*	home/id_rsa	false
.devcouncil/*	src/legacy/old.go	false
.devcouncil/*	src/legacy/a/b.go	false
.devcouncil/*	abd	false
.devcouncil/*	acd	false
.devcouncil/*	axd	false
.devcouncil/*	xyz	false
.devcouncil/*	x/z	false
.devcouncil/*	]a	false
.devcouncil/*	uv.lock	false
.devcouncil/*	p/secrets/k	false
.devcouncil/*	secrets/k	false
.devcouncil/*		false
.github/workflows/*.yml	src/foo.py	false
.github/workflows/*.yml	foo.py	false
.github/workflows/*.yml	a/b/.env	false
.github/workflows/*.yml	.env	false
.github/workflows/*.yml	.env.local	false
.github/workflows/*.yml	src/a/b/c.py	false
.github/workflows/*.yml	x/credentials/y	false
.github/workflows/*.yml	credentials/y	false
.github/workflows/*.yml	x/credentials/y/z	false
.github/workflows/*.yml	a.pem	false
.github/workflows/*.yml	deep/a.pem	false
.github/workflows/*.yml	.claude/settings.json	false
.github/workflows/*.yml	.claude/a/b	false
.github/workflows/*.yml	.git/config	false
.github/workflows/*.yml	.devcouncil/state.sqlite	false
